name_S24,islandmark_C,lat_R,lon_R,projectionlat_R,projectionlon_R,xang_R,yang_R,evalwidth_U,evalheight_U,useforbbr_C,useforffr_C,useforssr_C,useforglm_C,useforlr14_C,useforlr28_C,useforlr56_C,useforfd_C,useforconus_C,useformeso_C
000028_-75.0_BBR, ,45.9319,-63.5977,0,-75,0.023064995,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000028_-137.0_BBR, ,45.9319,-125.5977,0,-137,0.023064995,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000028_-89.5_BBR, ,45.9319,-78.0977,0,-89.5,0.023064995,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000028_140.7_BBR, ,45.9319,152.1023,0,140.7,0.023064995,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000029_-75.0_BBR, ,46.1467,-57.37,0,-75,0.035062995,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000029_-137.0_BBR, ,46.1467,-119.37,0,-137,0.035062995,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000029_-89.5_BBR, ,46.1467,-71.87,0,-89.5,0.035062995,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000029_140.7_BBR, ,46.1467,158.33,0,140.7,0.035062995,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000030_-75.0_BBR, ,46.473,-50.7132,0,-75,0.047060995,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000030_-137.0_BBR, ,46.473,-112.7132,0,-137,0.047060995,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000030_-89.5_BBR, ,46.473,-65.2132,0,-89.5,0.047060995,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000030_140.7_BBR, ,46.473,164.9867,0,140.7,0.047060995,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000031_-75.0_BBR, ,46.9448,-43.3335,0,-75,0.059058995,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000031_-137.0_BBR, ,46.9448,-105.3335,0,-137,0.059058995,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000031_-89.5_BBR, ,46.9448,-57.8335,0,-89.5,0.059058995,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000031_140.7_BBR, ,46.9448,172.3664,0,140.7,0.059058995,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000032_-75.0_BBR, ,47.6341,-34.6547,0,-75,0.071056995,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000032_-137.0_BBR, ,47.6341,-96.6547,0,-137,0.071056995,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000032_-89.5_BBR, ,47.6341,-49.1547,0,-89.5,0.071056995,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000032_140.7_BBR, ,47.6341,-178.9547,0,140.7,0.071056995,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000033_-75.0_BBR, ,48.7472,-23.0602,0,-75,0.083054995,0.12002901,256,256, , , , , , , , , , 
000033_-137.0_BBR, ,48.7472,-85.0602,0,-137,0.083054995,0.12002901,256,256, , , , , , , , , , 
000033_-89.5_BBR, ,48.7472,-37.5602,0,-89.5,0.083054995,0.12002901,256,256, , , , , , , , , , 
000033_140.7_BBR, ,48.7472,-167.3602,0,140.7,0.083054995,0.12002901,256,256, , , , , , , , , , 
000034_-75.0_BBR, ,42.607,-132.1214,0,-75,-0.098777005,0.10801701,256,256, , , , , , , , , , 
000034_-137.0_BBR, ,42.607,165.8786,0,-137,-0.098777005,0.10801701,256,256, , , , , , , , , , 
000034_-89.5_BBR, ,42.607,-146.6214,0,-89.5,-0.098777005,0.10801701,256,256, , , , , , , , , , 
000034_140.7_BBR, ,42.607,83.5786,0,140.7,-0.098777005,0.10801701,256,256, , , , , , , , , , 
000035_-75.0_BBR, ,41.5359,-120.2404,0,-75,-0.086779005,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000035_-137.0_BBR, ,41.5359,177.7596,0,-137,-0.086779005,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000035_-89.5_BBR, ,41.5359,-134.7404,0,-89.5,-0.086779005,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000035_140.7_BBR, ,41.5359,95.4596,0,140.7,-0.086779005,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000036_-75.0_BBR, ,40.8796,-111.6929,0,-75,-0.074781005,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000036_-137.0_BBR, ,40.8796,-173.6929,0,-137,-0.074781005,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000036_-89.5_BBR, ,40.8796,-126.1929,0,-89.5,-0.074781005,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000036_140.7_BBR, ,40.8796,104.0071,0,140.7,-0.074781005,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000037_-75.0_BBR, ,40.4196,-104.5579,0,-75,-0.062783005,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000037_-137.0_BBR, ,40.4196,-166.5579,0,-137,-0.062783005,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000037_-89.5_BBR, ,40.4196,-119.0579,0,-89.5,-0.062783005,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000037_140.7_BBR, ,40.4196,111.1421,0,140.7,-0.062783005,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000038_-75.0_BBR, ,40.0854,-98.2136,0,-75,-0.050785005,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000038_-137.0_BBR, ,40.0854,-160.2136,0,-137,-0.050785005,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000038_-89.5_BBR, ,40.0854,-112.7136,0,-89.5,-0.050785005,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000038_140.7_BBR, ,40.0854,117.4864,0,140.7,-0.050785005,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000039_-75.0_BBR, ,39.8439,-92.3595,0,-75,-0.038787005,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000039_-137.0_BBR, ,39.8439,-154.3595,0,-137,-0.038787005,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000039_-89.5_BBR, ,39.8439,-106.8595,0,-89.5,-0.038787005,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000039_140.7_BBR, ,39.8439,123.3405,0,140.7,-0.038787005,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000040_-75.0_BBR, ,39.6775,-86.8181,0,-75,-0.026789005,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000040_-137.0_BBR, ,39.6775,-148.8181,0,-137,-0.026789005,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000040_-89.5_BBR, ,39.6775,-101.3181,0,-89.5,-0.026789005,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000040_140.7_BBR, ,39.6775,128.8819,0,140.7,-0.026789005,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000041_-75.0_BBR, ,39.576,-81.4683,0,-75,-0.014791005,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000041_-137.0_BBR, ,39.576,-143.4683,0,-137,-0.014791005,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000041_-89.5_BBR, ,39.576,-95.9683,0,-89.5,-0.014791005,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000041_140.7_BBR, ,39.576,134.2317,0,140.7,-0.014791005,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000042_-75.0_BBR, ,39.534,-76.217,0,-75,-0.002793006,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000042_-137.0_BBR, ,39.534,-138.217,0,-137,-0.002793006,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000042_-89.5_BBR, ,39.534,-90.717,0,-89.5,-0.002793006,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000042_140.7_BBR, ,39.534,139.483,0,140.7,-0.002793006,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000043_-75.0_BBR, ,39.5492,-70.9838,0,-75,0.009204995,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000043_-137.0_BBR, ,39.5492,-132.9838,0,-137,0.009204995,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000043_-89.5_BBR, ,39.5492,-85.4838,0,-89.5,0.009204995,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000043_140.7_BBR, ,39.5492,144.7162,0,140.7,0.009204995,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000044_-75.0_BBR, ,39.6226,-65.6904,0,-75,0.021202995,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000044_-137.0_BBR, ,39.6226,-127.6904,0,-137,0.021202995,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000044_-89.5_BBR, ,39.6226,-80.1904,0,-89.5,0.021202995,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000044_140.7_BBR, ,39.6226,150.0096,0,140.7,0.021202995,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000045_-75.0_BBR, ,39.7579,-60.2511,0,-75,0.033200995,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000045_-137.0_BBR, ,39.7579,-122.2511,0,-137,0.033200995,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000045_-89.5_BBR, ,39.7579,-74.7511,0,-89.5,0.033200995,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000045_140.7_BBR, ,39.7579,155.4489,0,140.7,0.033200995,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000046_-75.0_BBR, ,39.9627,-54.5603,0,-75,0.045198995,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000046_-137.0_BBR, ,39.9627,-116.5603,0,-137,0.045198995,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000046_-89.5_BBR, ,39.9627,-69.0603,0,-89.5,0.045198995,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000046_140.7_BBR, ,39.9627,161.1397,0,140.7,0.045198995,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000047_-75.0_BBR, ,40.2509,-48.4719,0,-75,0.057196995,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000047_-137.0_BBR, ,40.2509,-110.4719,0,-137,0.057196995,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000047_-89.5_BBR, ,40.2509,-62.9719,0,-89.5,0.057196995,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000047_140.7_BBR, ,40.2509,167.2281,0,140.7,0.057196995,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000048_-75.0_BBR, ,40.6467,-41.7552,0,-75,0.069194995,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000048_-137.0_BBR, ,40.6467,-103.7552,0,-137,0.069194995,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000048_-89.5_BBR, ,40.6467,-56.2552,0,-89.5,0.069194995,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000048_140.7_BBR, ,40.6467,173.9448,0,140.7,0.069194995,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000049_-75.0_BBR, ,41.1984,-33.981,0,-75,0.081192995,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000049_-137.0_BBR, ,41.1984,-95.981,0,-137,0.081192995,0.10801701,256,256,1, ,1,1,1,1,1,1,1,1
000049_-89.5_BBR, ,41.1984,-48.481,0,-89.5,0.081192995,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000049_140.7_BBR, ,41.1984,-178.2811,0,140.7,0.081192995,0.10801701,256,256,1, ,1, ,1,1,1,1,1,1
000050_-75.0_BBR, ,42.0259,-24.0977,0,-75,0.093190995,0.10801701,256,256, , , , , , , , , , 
000050_-137.0_BBR, ,42.0259,-86.0977,0,-137,0.093190995,0.10801701,256,256, , , , , , , , , , 
000050_-89.5_BBR, ,42.0259,-38.5977,0,-89.5,0.093190995,0.10801701,256,256, , , , , , , , , , 
000050_140.7_BBR, ,42.0259,-168.3977,0,140.7,0.093190995,0.10801701,256,256, , , , , , , , , , 
000051_-75.0_BBR, ,36.8814,-133.9681,0,-75,-0.10976701,0.096005005,256,256, , , , , , , , , , 
